x0,x1,x2,y,x3,x4,x5,x6,x7
A2,A3,A0,110,2,2.31,1,0,430.57142857142856
A0,A12,A0,99,2,,1,20,
A4,A70,A1,65,1,1.37,2,362,431.14285714285717
A2,A13,A0,145,3,0.05,1,0,264.7142857142857
A0,A38,A0,145,5,0.32,1,0,405.14285714285717
A0,A5,A1,77,2,,7,169,
A3,A71,A1,100,1,1.84,1,319,431.2857142857143
A1,A28,A0,110,3,3.07,2,174,431.7142857142857
A2,A36,A0,70,30,0.36,103,219,422.0
A0,A72,A1,150,2,2.36,1,117,428.85714285714283
A0,A6,A1,50,30,0.23,6,88,428.0
A0,A12,A1,70,1,2.67,1,153,429.14285714285717
A0,A5,A1,65,2,2.89,1,37,430.2857142857143
A2,A3,A0,125,1,2.55,1,266,431.0
A0,A5,A0,110,10,0.92,1,282,427.0
A0,A5,A1,37,18,0.33,2,341,407.14285714285717
A2,A45,A2,75,1,0.12,1,365,395.0
A0,A5,A1,70,3,1.0,1,65,431.0
A1,A73,A0,283,2,1.75,2,303,428.7142857142857
A0,A0,A1,60,2,0.03,1,0,280.0
A2,A74,A0,361,30,,232,157,
A0,A5,A1,75,2,0.2,1,16,353.85714285714283
A2,A45,A0,449,4,0.14,2,4,404.85714285714283
A1,A75,A1,165,1,,18,362,
A0,A5,A1,20,10,1.4,2,38,431.0
A2,A50,A0,125,1,,1,1,
A1,A76,A1,75,1,2.0,3,90,430.85714285714283
A0,A4,A0,175,2,0.39,1,4,402.85714285714283
A1,A20,A1,70,4,0.1,1,25,385.85714285714283
A0,A42,A0,120,2,0.92,1,8,422.0
A2,A45,A1,115,6,0.5,2,67,395.14285714285717
A0,A21,A0,99,2,3.21,1,145,430.42857142857144
A0,A0,A1,47,1,1.73,1,0,402.85714285714283
A2,A33,A1,85,2,,1,12,
A2,A19,A0,232,30,,232,61,
A2,A8,A1,95,2,0.7,1,0,405.2857142857143
A0,A5,A1,60,1,4.35,1,147,429.2857142857143
A0,A5,A1,58,2,5.19,8,261,431.42857142857144
A2,A3,A1,75,2,7.3,3,13,430.85714285714283
A0,A0,A0,225,2,3.08,1,59,429.0
A0,A6,A1,58,2,1.25,2,3,416.7142857142857
A0,A22,A1,100,3,,1,0,
A2,A3,A1,69,2,0.26,3,71,332.0
A2,A13,A0,140,7,,1,24,
A1,A73,A1,60,1,1.05,1,316,427.14285714285717
A2,A7,A1,69,7,0.61,1,235,429.57142857142856
A2,A8,A1,77,1,,1,0,
A1,A77,A1,32,30,,37,0,
A0,A21,A1,75,1,,1,0,
A0,A6,A2,34,2,3.42,1,192,428.57142857142856
A0,A22,A0,108,1,0.87,1,0,421.42857142857144
A2,A17,A0,175,2,0.38,1,0,431.0
A2,A7,A1,75,2,0.16,1,0,329.2857142857143
A0,A78,A2,30,2,0.66,10,0,428.2857142857143
A2,A7,A0,375,2,0.31,1,8,402.7142857142857
A2,A23,A0,250,2,3.8,1,60,430.7142857142857
,A52,A1,45,5,0.89,1,16,429.2857142857143
A0,A21,A1,100,7,1.38,1,353,430.0
